date,Underlying,raw_all_sleeve_hedge_net_usd,raw_all_sleeve_hedge_gross_usd,raw_all_sleeve_n_pairs,raw_all_sleeve_hedge_net_pct,raw_all_sleeve_breach,stock_hedge_net_usd,stock_hedge_gross_usd,stock_n_pairs,stock_hedge_net_pct,stock_breach,stock_missing_delta,raw_all_sleeve_missing_delta,hedge_net_usd,hedge_gross_usd,n_pairs,hedge_net_pct,breach
2026-03-02,AMD,-3.637978807091713e-12,56300.957532214554,1,-6.461664182194622e-17,,-3.637978807091713e-12,56300.957532214554,1.0,-6.461664182194622e-17,,False,False,-3.637978807091713e-12,56300.957532214554,1.0,-6.461664182194622e-17,
2026-03-02,BMNR,-1.4551915228366852e-11,234324.1626115953,1,-6.210164187159572e-17,,-1.4551915228366852e-11,234324.1626115953,1.0,-6.210164187159572e-17,,False,False,-1.4551915228366852e-11,234324.1626115953,1.0,-6.210164187159572e-17,
2026-03-02,BULL,0.0,58626.85973395224,1,0.0,,0.0,58626.85973395224,1.0,0.0,,False,False,0.0,58626.85973395224,1.0,0.0,
2026-03-02,CORZ,1.4551915228366852e-11,131199.5783828384,1,1.1091434444937454e-16,,1.4551915228366852e-11,131199.5783828384,1.0,1.1091434444937454e-16,,False,False,1.4551915228366852e-11,131199.5783828384,1.0,1.1091434444937454e-16,
2026-03-02,CRML,0.0,78645.57882297387,1,0.0,,0.0,78645.57882297387,1.0,0.0,,False,False,0.0,78645.57882297387,1.0,0.0,
2026-03-02,DNN,0.0,153105.82261153174,1,0.0,,0.0,153105.82261153174,1.0,0.0,,False,False,0.0,153105.82261153174,1.0,0.0,
2026-03-02,ETHA,7.275957614183426e-12,186305.27038129856,2,3.905395483065084e-17,,7.275957614183426e-12,186305.27038129856,2.0,3.905395483065084e-17,,False,False,7.275957614183426e-12,186305.27038129856,2.0,3.905395483065084e-17,
2026-03-02,FIGR,0.0,255546.05307385395,1,0.0,,0.0,255546.05307385395,1.0,0.0,,False,False,0.0,255546.05307385395,1.0,0.0,
2026-03-02,FXI,-3.637978807091713e-12,52000.47486551487,1,-6.99604920243586e-17,,-3.637978807091713e-12,52000.47486551487,1.0,-6.99604920243586e-17,,False,False,-3.637978807091713e-12,52000.47486551487,1.0,-6.99604920243586e-17,
2026-03-02,GDX,7.275957614183426e-12,90072.3655622536,1,8.077902216473532e-17,,7.275957614183426e-12,90072.3655622536,1.0,8.077902216473532e-17,,False,False,7.275957614183426e-12,90072.3655622536,1.0,8.077902216473532e-17,
