run_date,underlying,qty_b1,qty_b2,qty_b4,cost_b1_base,cost_b2_base,cost_b4_base
2026-06-06,3905,3000.0,0.0,0.0,43142.1429,0.0,0.0
2026-06-06,AAL,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,AAOI,340.0,0.0,0.0,55964.241754385956,0.0,0.0
2026-06-06,AAPL,0.35044643674664044,0.649553563253356,0.0,89.0530617177739,162.86457704597586,0.0
2026-06-06,ABNB,-4.0,0.0,0.0,-573.44,0.0,0.0
2026-06-06,ABNY,11.0,0.0,0.0,435.71,0.0,0.0
2026-06-06,ACHR,685.0,0.0,0.0,4287.519705882353,0.0,0.0
2026-06-06,ADBE,3.0,0.0,0.0,762.4703999999999,0.0,0.0
2026-06-06,AFRM,34.0,0.0,0.0,2061.4887179487177,0.0,0.0
2026-06-06,AI,0.0,-40.0,0.0,0.0,-372.0,0.0
2026-06-06,ALAB,36.0,0.0,0.0,5911.247494190585,0.0,0.0
2026-06-06,ALB,8.0,0.0,0.0,1362.4,0.0,0.0
2026-06-06,AMD,25.324857044817655,43.67514295518235,0.0,5957.663102942421,18791.68496806377,0.0
2026-06-06,AMZN,0.001827476796548181,0.9981725232034494,0.0,0.4352887430963197,266.4324142247025,0.0
2026-06-06,ANET,11.0,0.0,0.0,1909.29,0.0,0.0
2026-06-06,APH,5.0,0.0,0.0,672.6673333333333,0.0,0.0
2026-06-06,APLD,12000.0,0.0,9000.0,337366.82660000003,0.0,231069.11500000005
2026-06-06,APP,9.0,0.0,0.0,4269.644722222223,0.0,0.0
2026-06-06,AREB,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,ARKK,13.0,0.0,0.0,991.7830079100529,0.0,0.0
2026-06-06,ARM,0.0,7.0,0.0,0.0,2094.5815625,0.0
2026-06-06,ASHR,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,ASML,-1.0,0.0,0.0,-1591.49,0.0,0.0
2026-06-06,ASO,-1292.0,0.0,0.0,-67300.28,0.0,0.0
2026-06-06,ASPN,-6000.0,0.0,0.0,-19450.0,0.0,0.0
2026-06-06,ASTS,40.0,0.0,0.0,4224.074795394646,0.0,0.0
2026-06-06,AVAV,23.0,0.0,0.0,4552.88,0.0,0.0
2026-06-06,AVGO,6.0,0.0,0.0,2213.8610565344147,0.0,0.0
2026-06-06,AXON,1.0,0.0,0.0,572.42,0.0,0.0
2026-06-06,AXP,1.0,0.0,0.0,314.795,0.0,0.0
2026-06-06,AXUP,-101.0,0.0,0.0,-1150.39,0.0,0.0
2026-06-06,B,25.0,0.0,0.0,1032.5666666666668,0.0,0.0
2026-06-06,BA,6.0,0.0,0.0,1340.9708552295917,0.0,0.0
2026-06-06,BABA,0.00026753171139278723,227.99973246828864,0.0,0.04509720292569529,28773.6932879669,0.0
2026-06-06,BAMI,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,BBAI,1756.0,0.0,0.0,6735.693773239866,0.0,0.0
2026-06-06,BE,61.0,0.0,0.0,16704.662833513124,0.0,0.0
2026-06-06,BFF,-4000.0,0.0,0.0,-17678.232,0.0,0.0
2026-06-06,BIDU,5.0,0.0,0.0,681.29,0.0,0.0
2026-06-06,BITF,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,BJRI,-5000.0,0.0,0.0,-175144.83000000002,0.0,0.0
2026-06-06,BKNG,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,BKNU,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,BLSH,131.0,0.0,0.0,4927.831891891892,0.0,0.0
2026-06-06,BLSX,-575.0,0.0,0.0,-4999.609999999999,0.0,0.0
2026-06-06,BMNR,1148.0,0.0,0.0,23819.261231460678,0.0,0.0
2026-06-06,BRK.B,15.0,4.0,0.0,7259.9,1978.1999999999998,0.0
2026-06-06,BTFL,-185.0,0.0,0.0,-7389.79,0.0,0.0
2026-06-06,BULL,348.0,0.0,0.0,2201.29484,0.0,0.0
2026-06-06,CBRS,0.0,0.0,-175.0,0.0,0.0,-40731.25
2026-06-06,CC,-14523.0,0.0,0.0,-259391.44769999996,0.0,0.0
2026-06-06,CEG,3.0,0.0,0.0,871.6688235294118,0.0,0.0
2026-06-06,CELH,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,CELT,-338.0,0.0,0.0,-4177.004636363637,0.0,0.0
2026-06-06,CHNL,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,CIFR,510.0,0.0,0.0,9469.521570755796,0.0,0.0
2026-06-06,CLS,19.0,0.0,0.0,6962.373959183673,0.0,0.0
2026-06-06,CLSK,1964.80073800738,0.0,-1193.80073800738,23895.141210332105,0.0,-12703.274309963099
2026-06-06,CMG,3.0,0.0,0.0,85.32000000000001,0.0,0.0
2026-06-06,CNC,52.0,0.0,0.0,2598.781894736842,0.0,0.0
2026-06-06,COHR,10.0,0.0,0.0,3577.1000000000004,0.0,0.0
2026-06-06,COIN,-9.07482927087996,393.07482927088,0.0,-1797.1060984545306,74745.55106047714,0.0
2026-06-06,COLD,4075.0,0.0,0.0,46314.86,0.0,0.0
2026-06-06,COPX,22.0,0.0,0.0,2060.002475247524,0.0,0.0
2026-06-06,CORZ,146.0,0.0,0.0,3039.7265652881474,0.0,0.0
2026-06-06,COST,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,CRCL,368.0,0.0,0.0,36646.95973979592,0.0,0.0
2026-06-06,CRDO,56.0,0.0,0.0,7354.7572815533995,0.0,0.0
2026-06-06,CRM,7.0,0.0,0.0,1304.0233333333335,0.0,0.0
2026-06-06,CRML,8477.0,0.0,0.0,88656.02307279174,0.0,0.0
2026-06-06,CRWD,1.0,0.0,0.0,406.1600000000001,0.0,0.0
2026-06-06,CRWV,216.79999999999998,24.2,0.0,23407.3064097253,2652.086,0.0
2026-06-06,CSCO,-9.0,0.0,0.0,-809.595,0.0,0.0
2026-06-06,CVNA,-13.0,0.0,0.0,-882.9866666666667,0.0,0.0
2026-06-06,DASH,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,DASX,-387.0,0.0,0.0,-4113.81,0.0,0.0
2026-06-06,DDOG,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,DELL,7.0,0.0,0.0,1640.1027272727272,0.0,0.0
2026-06-06,DIA,52.94117647058823,0.0,-52.94117647058823,25843.328470588236,0.0,-25901.598494117647
2026-06-06,DJT,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,DKNG,0.0,35.0,0.0,0.0,883.708125,0.0
2026-06-06,DKUP,-277.0,0.0,0.0,-2490.23,0.0,0.0
2026-06-06,DNN,534.0,0.0,0.0,1876.238245387994,0.0,0.0
2026-06-06,DOGD,-75.0,0.0,0.0,-1343.8900000000003,0.0,0.0
2026-06-06,DUOL,35.0,0.0,0.0,3500.7825974025973,0.0,0.0
2026-06-06,ENPH,25.0,0.0,0.0,822.5,0.0,0.0
2026-06-06,ENPX,-33.0,0.0,0.0,-407.88,0.0,0.0
2026-06-06,EOSE,3118.0,0.0,0.0,25109.050918512014,0.0,0.0
2026-06-06,ETHA,746.0,0.0,0.0,13379.041403744242,0.0,0.0
2026-06-06,ETOR,33.0,0.0,0.0,1249.2163313716942,0.0,0.0
2026-06-06,EWJ,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,EWW,13.0,0.0,0.0,1010.0826153846155,0.0,0.0
2026-06-06,EWY,29.0,0.0,0.0,4835.225066133335,0.0,0.0
2026-06-06,F,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,FCX,23.0,0.0,0.0,1373.0323913043478,0.0,0.0
2026-06-06,FIG,249.0,0.0,0.0,7314.48,0.0,0.0
2026-06-06,FIGR,142.0,0.0,0.0,4865.62155098242,0.0,0.0
2026-06-06,FLY,667.0,0.0,0.0,27083.632662633227,0.0,0.0
2026-06-06,FRDU,-113.0,0.0,0.0,-4273.04,0.0,0.0
2026-06-06,FTRE,500.0,0.0,0.0,5720.0,0.0,0.0
2026-06-06,FUTU,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,FXI,43.0,0.0,0.0,1565.4516712262937,0.0,0.0
2026-06-06,GDX,44.0,0.0,0.0,4019.664554455445,0.0,0.0
2026-06-06,GDXJ,16.0,0.0,0.0,2187.0376470588235,0.0,0.0
2026-06-06,GEMI,1607.0,0.0,0.0,8195.46966475551,0.0,0.0
2026-06-06,GEV,2.0,0.0,0.0,1697.0449999999996,0.0,0.0
2026-06-06,GLIBK,-637.0,0.0,0.0,-23416.12,0.0,0.0
2026-06-06,GLW,11.0,0.0,0.0,2211.93,0.0,0.0
2026-06-06,GLXY,519.0,0.0,0.0,13230.805227765724,0.0,0.0
2026-06-06,GME,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,GOOGL,0.05237576819991892,1.947624231800074,0.0,16.063124349233135,728.6166586413692,0.0
2026-06-06,GPGI,0.5119,0.0,0.0,6.019944,0.0,0.0
2026-06-06,GRAB,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,GS,10.0,0.0,0.0,9111.134,0.0,0.0
2026-06-06,GSOL,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,GSX,-141.0,0.0,0.0,-4544.09,0.0,0.0
2026-06-06,GXRP,-20.0,0.0,0.0,-546.4,0.0,0.0
2026-06-06,HEI.A,1.0,0.0,0.0,271.32,0.0,0.0
2026-06-06,HIMS,0.0,540.0,0.0,0.0,13777.2724154987,0.0
2026-06-06,HL,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,HOOD,30.36,617.64,0.0,2620.6751999999997,52072.20358634521,0.0
2026-06-06,HUT,106.0,0.0,0.0,7064.588157894737,0.0,0.0
2026-06-06,IBIT,49.70603799102011,1414.2939620089796,0.0,2709.9995453908746,58292.03593800634,0.0
2026-06-06,IBM,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,INTC,46.0,0.0,0.0,2922.6134224157745,0.0,0.0
2026-06-06,INV,-1000.0,0.0,0.0,-3040.0,0.0,0.0
2026-06-06,IONQ,55.05720835540678,745.9427916445932,0.0,1905.192979387247,46541.81929629837,0.0
2026-06-06,IREN,905.0,0.0,0.0,47696.601512331195,0.0,0.0
2026-06-06,ISRG,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,IWM,5.0,0.0,0.0,1440.9653480000002,0.0,0.0
2026-06-06,JILL,-6800.0,0.0,0.0,-115689.22000000002,0.0,0.0
2026-06-06,JOBY,145.0,0.0,0.0,1447.9526988636364,0.0,0.0
2026-06-06,JPM,72.0,0.0,0.0,22502.175000000003,0.0,0.0
2026-06-06,KEEL,3539.0,0.0,0.0,11335.14,0.0,0.0
2026-06-06,KLAC,1.0011,0.0,0.0,1538.5316684285713,0.0,0.0
2026-06-06,KTOS,37.0,0.0,0.0,2809.9986363636363,0.0,0.0
2026-06-06,KWEB,41.0,0.0,0.0,1157.3506029268292,0.0,0.0
2026-06-06,LAC,625.0,0.0,0.0,3073.535960501715,0.0,0.0
2026-06-06,LBRDK,-2272.0,0.0,0.0,-113634.66,0.0,0.0
2026-06-06,LBRDP,-1245.0,0.0,0.0,-29830.2,0.0,0.0
2026-06-06,LCID,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,LEU,11.0,0.0,0.0,2171.525909090909,0.0,0.0
2026-06-06,LITE,20.0,0.0,0.0,17443.179545454546,0.0,0.0
2026-06-06,LLY,-2.0,0.0,0.0,-2050.71,0.0,0.0
2026-06-06,LMND,41.0,0.0,0.0,2319.014545454546,0.0,0.0
2026-06-06,LMT,-1.0,0.0,0.0,-628.44,0.0,0.0
2026-06-06,LRCX,6.0,0.0,0.0,1434.88,0.0,0.0
2026-06-06,LUNR,686.0,0.0,0.0,24736.651036585365,0.0,0.0
2026-06-06,MARA,0.0,1469.0,0.0,0.0,20025.846227362854,0.0
2026-06-06,MCHB,516.0,0.0,0.0,7476.999999999999,0.0,0.0
2026-06-06,MCO,1.0,0.0,0.0,433.8,0.0,0.0
2026-06-06,MDB,23.0,0.0,0.0,8745.581038461538,0.0,0.0
2026-06-06,MDBX,-145.0,0.0,0.0,-6371.095,0.0,0.0
2026-06-06,META,0.0,55.0,0.0,0.0,34747.6613,0.0
2026-06-06,MP,41.0,0.0,0.0,2443.724447154471,0.0,0.0
2026-06-06,MRNA,47.0,0.0,0.0,2326.323232157506,0.0,0.0
2026-06-06,MRVL,8.0,0.0,0.0,1579.1,0.0,0.0
2026-06-06,MSFT,0.20876914519040923,1.7912308548095908,0.0,90.56930209182894,769.3178198854114,0.0
2026-06-06,MSOO,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,MSTR,-1.3946375668608306,457.39463756686075,0.0,-227.75740369822796,68151.72811318978,0.0
2026-06-06,MU,2.6923076923076925,11.307692307692307,0.0,1394.8407364253394,11437.412307692308,0.0
2026-06-06,NAN,10.0626,0.0,0.0,116.01989999999999,0.0,0.0
2026-06-06,NBIS,135.0,0.0,0.0,23128.200774002533,0.0,0.0
2026-06-06,NEM,15.0,0.0,0.0,1725.733137254902,0.0,0.0
2026-06-06,NET,4.0,0.0,0.0,868.5662857142858,0.0,0.0
2026-06-06,NFLX,6.408093710914767,3.5919062890852187,0.0,529.7581439555312,310.68798333503304,0.0
2026-06-06,NIO,248.0,0.0,0.0,1540.7299999999998,0.0,0.0
2026-06-06,NNE,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,NNEX,-1042.0,0.0,0.0,-6155.210000000001,0.0,0.0
2026-06-06,NOK,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-06,NOW,13.0,0.0,0.0,1437.856842105263,0.0,0.0
2026-06-06,NU,10.0,0.0,0.0,125.4,0.0,0.0
2026-06-06,NVDA,0.016667496228340357,8.983332503771686,0.0,3.0572478951420754,1949.9100505794856,0.0
2026-06-06,NVO,30.0,0.0,0.0,1270.3644827586206,0.0,0.0
2026-06-06,NVTS,1258.0,0.0,0.0,21473.05477895664,0.0,0.0
2026-06-06,OKLO,274.0,0.0,0.0,17076.809593220336,0.0,0.0
2026-06-06,OKTA,16.0,0.0,0.0,1311.482476190476,0.0,0.0
2026-06-06,ONDS,2795.0,0.0,0.0,28940.132125776872,0.0,0.0
2026-06-06,OPEN,1758.0,0.0,0.0,8874.318185164126,0.0,0.0
2026-06-06,ORCL,20.0,0.0,0.0,3749.280231707317,0.0,0.0
2026-06-06,ORLY,0.0,0.0,0.0,0.0,0.0,0.0
