run_date,underlying,qty_b1,qty_b2,qty_b4,ledger_total,ibkr_position,diff_ledger_minus_ibkr
2026-04-01,CC,-14523.0,0.0,0.0,-14523.0,0.0,-14523.0
2026-04-01,INV,-1000.0,0.0,0.0,-1000.0,9000.0,-10000.0
2026-04-01,QDEL,7000.0,0.0,0.0,7000.0,15000.0,-8000.0
2026-04-01,JPM,36.0,0.0,0.0,36.0,7612.0,-7576.0
2026-04-01,JILL,-6800.0,0.0,0.0,-6800.0,0.0,-6800.0
2026-04-01,MCHB,186.0,0.0,0.0,186.0,6883.0,-6697.0
2026-04-01,BJRI,-5000.0,0.0,0.0,-5000.0,0.0,-5000.0
2026-04-01,BFF,-4000.0,0.0,0.0,-4000.0,0.0,-4000.0
2026-04-01,HEI.A,1.0,0.0,0.0,1.0,3356.0,-3355.0
2026-04-01,3905,3000.0,0.0,0.0,3000.0,0.0,3000.0
2026-04-01,LBRDK,-2272.0,0.0,0.0,-2272.0,-30.0,-2242.0
2026-04-01,FTRE,500.0,0.0,0.0,500.0,2500.0,-2000.0
2026-04-01,ASO,2.0,0.0,0.0,2.0,1294.0,-1292.0
2026-04-01,LBRDP,-1245.0,0.0,0.0,-1245.0,0.0,-1245.0
2026-04-01,VSTS,-1000.0,0.0,0.0,-1000.0,0.0,-1000.0
2026-04-01,SPHR,-1000.0,0.0,0.0,-1000.0,0.0,-1000.0
2026-04-01,GLIBK,-637.0,0.0,0.0,-637.0,0.0,-637.0
2026-04-01,MCO,1.0,0.0,0.0,1.0,622.0,-621.0
2026-04-01,BLSX,-575.0,0.0,0.0,-575.0,0.0,-575.0
2026-04-01,STRZ,-513.0,0.0,0.0,-513.0,0.0,-513.0
2026-04-01,DASX,-387.0,0.0,0.0,-387.0,0.0,-387.0
2026-04-01,CELT,-338.0,0.0,0.0,-338.0,0.0,-338.0
2026-04-01,DKUP,-277.0,0.0,0.0,-277.0,0.0,-277.0
2026-04-01,GSX,-141.0,0.0,0.0,-141.0,0.0,-141.0
2026-04-01,OPEN,633.0,0.0,0.0,633.0,755.0,-122.0
2026-04-01,AXUP,-101.0,0.0,0.0,-101.0,0.0,-101.0
2026-04-01,MSTX,92.0,0.0,0.0,92.0,0.0,92.0
2026-04-01,MARA,0.0,1007.0,0.0,1007.0,1066.0,-59.0
2026-04-01,AI,0.0,-40.0,0.0,-40.0,0.0,-40.0
2026-04-01,ETHA,1436.0,0.0,0.0,1436.0,1468.0,-32.0
2026-04-01,GLXY,257.0,0.0,0.0,257.0,289.0,-32.0
2026-04-01,GXRP,-20.0,0.0,0.0,-20.0,0.0,-20.0
