bucket,etf,underlying,w_book,frac_sleeve,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,prev_w_book,delta_w_book,haircut_factor,ema_applied
core_leveraged,NVTX,NVTS,0.09999999992370613,0.1481481480351202,0.0,0.0,1.086582317545798,0.17177853290483888,2.213919310579444,0.09999999995683669,-3.3130553855897915e-11,1.0,False
core_leveraged,ASTX,ASTS,0.09999999991675841,0.14814814802482726,0.0,0.0,0.9163964475529239,0.11627323270271583,2.7584917799918687,0.09999999989172845,2.5029964212386346e-11,1.0,False
core_leveraged,SMU,SMR,0.09999999990592318,0.14814814800877507,0.0,0.0,0.8355048127329259,0.1351590893931274,2.1635739465953625,0.09999999957579227,3.3013090872113793e-10,1.0,False
core_leveraged,IRE,IREN,0.09999999990552982,0.14814814800819232,0.0,0.0,0.8984756171362082,0.1350732174805186,2.328118570530297,0.09999999978001896,1.2551086558953983e-10,1.0,False
core_leveraged,CLSX,CLSK,0.09999999987708863,0.14814814796605721,0.0,0.0,0.7775148405313508,0.14135964308787097,1.9250911238988706,0.09956374884564631,0.0004362510314423196,1.0,False
core_leveraged,NBIG,NBIS,0.09999999954516317,0.1481481474743158,0.0,0.0,0.8369972523656957,0.12251775776005384,2.391074107818089,0.05125457381123604,0.04874542573392713,1.0,False
core_leveraged,WULX,WULF,0.07499999991646927,0.11111111098736189,0.0,0.0,0.7380507593462613,0.16847516205867977,1.533269133649621,0.04037384378617756,0.03462615613029171,1.0,False
whitelist_stock,IOYY,IONQ,0.03999999999207158,0.19999999996035786,0.0,0.0,0.5932301134989253,0.26826695080684526,0.7739698800025493,0.0399999999637125,2.835907897402734e-11,1.0,False
whitelist_stock,MAAY,MARA,0.039999999990275675,0.19999999995137835,0.0,0.0,0.5770089807709469,0.2539926558008446,0.7951141052998896,0.03999999995899139,3.12842876604158e-11,1.0,False
whitelist_stock,MTYY,MSTR,0.03999999998230978,0.19999999991154885,0.0,0.0,0.5278188691463831,0.26318686433342864,0.7019218252746583,0.039999999916300384,6.600939239653769e-11,1.0,False
whitelist_stock,SMYY,SMCI,0.03999999998167644,0.1999999999083822,0.0,0.0,0.5250177588623346,0.2740435310679673,0.6705365928022674,0.03999999991227883,6.939761265645217e-11,1.0,False
whitelist_stock,XBTY,IBIT,0.039999999974494084,0.19999999987247039,0.0,0.0,0.5029723900564718,0.21170235870678145,0.8315464107019702,0.03999999992110452,5.338956360345648e-11,1.0,False
inverse_decay_bucket4,MSDD,MSTR,0.025000000006824685,0.20000000005459748,0.0,0.0,1.0779873420469552,0.4337188320447181,0.8699082028274338,0.02499999997786059,2.896409501129682e-11,1.0,False
inverse_decay_bucket4,ETHD,ETHA,0.025000000005483924,0.2000000000438714,0.0,0.0,1.1318838934892521,0.30106243085983114,1.3158711353981007,0.024999999997738487,7.745436236827885e-12,1.0,False
inverse_decay_bucket4,CORD,CRWV,0.025000000002391096,0.20000000001912877,0.0,0.0,0.8738330124831828,0.9925464042879254,0.3081382926257553,0.02499999999920777,3.1833251312729516e-12,1.0,False
inverse_decay_bucket4,CONI,COIN,0.024999999994071976,0.1999999999525758,0.0,0.0,0.6562780248116088,0.4465912411484712,0.5143345581372457,0.025000000002540112,-8.46813591470763e-12,1.0,False
inverse_decay_bucket4,PLTZ,PLTR,0.02499999999122831,0.19999999992982648,0.0,0.0,0.6241217588356408,0.2664824843433857,0.8197259798546163,0.025000000002623087,-1.1394777482687246e-11,1.0,False
core_leveraged,OKLL,OKLO,3.313572829918013e-10,4.908996785063722e-10,0.0,0.0,0.7306534225250771,0.11656279734761259,2.193913527325061,0.02927783909835794,-0.029277838767000658,1.0,False
core_leveraged,NEBX,NBIS,3.1322595598597777e-10,4.6403845331255964e-10,0.0,0.0,0.8353244859694027,0.11922771256839328,2.452144420044801,0.048745424248854106,-0.04874542393562815,1.0,False
core_leveraged,LABX,ALAB,9.574809110151663e-11,1.418490238540987e-10,0.0,0.0,0.6810095650415675,0.4255360963749884,0.5601248631902387,1.8135275690238486e-10,-8.560466580086823e-11,1.0,False
core_leveraged,GLXU,GLXY,8.190815923280445e-11,1.213454210856362e-10,0.0,0.0,0.7149912162360028,0.13466254262433763,1.858326159641172,0.005784566301949855,-0.005784566220041696,1.0,False
core_leveraged,CRDU,CRDO,5.2676320621824587e-11,7.80389935138142e-11,0.0,0.0,0.6979184811544733,0.14488467048212014,1.685971798059965,1.9518197382671482e-10,-1.4250565320489023e-10,1.0,False
whitelist_stock,FBYY,META,4.981605192420246e-11,2.4908025962101226e-10,0.0,0.0,0.40931923359077504,0.24684670181291274,0.5803672105181724,2.6734850985645334e-10,-2.175324579322509e-10,1.0,False
core_leveraged,NBIL,NBIS,4.603593383917609e-11,6.820138346544605e-11,0.0,0.0,0.7875313943789994,0.11080868412212674,2.487494461434631,1.825988693371492e-09,-1.779952759532316e-09,1.0,False
whitelist_stock,COYY,COIN,2.9356434050514135e-11,1.4678217025257064e-10,0.0,0.0,0.3731802257351789,0.2510734642979833,0.5202185717734639,6.026382087557628e-11,-3.090738682506214e-11,1.0,False
core_leveraged,RKLX,RKLB,2.312977360320555e-11,3.426633126400822e-11,0.0,0.0,0.5765411427278755,0.09303654940465053,2.1689260967439723,1.047739066676724e-10,-8.164413306446685e-11,1.0,False
core_leveraged,QBTX,QBTS,2.1668163995033072e-11,3.210098369634529e-11,0.0,0.0,0.5549250789620555,0.4464807506895772,0.435010417216747,5.738291080681763e-11,-3.5714746811784557e-11,1.0,False
core_leveraged,CWVX,CRWV,1.826828045752406e-11,2.706411919633194e-11,0.0,0.0,0.5452518591995311,0.43763207758042444,0.4360698415320463,6.106521208470679e-11,-4.279693162718273e-11,1.0,False
core_leveraged,IREX,IREN,8.47811183263139e-12,1.256016567797243e-11,0.0,0.0,0.7370736239491547,0.17214028327508052,1.4986368296487482,1.1424229007754685e-10,-1.0576417824491546e-10,1.0,False
core_leveraged,ETU,ETHA,7.199387642118084e-12,1.0665759469804568e-11,0.0,0.0,0.4912273071094564,0.09084638978511317,1.8925304340105271,6.527280636537133e-11,-5.807341872325324e-11,1.0,False
core_leveraged,ETHU,ETHA,6.387433733570428e-12,9.462864790474708e-12,0.0,0.0,0.4850380921273799,0.1916539002469368,0.8857807330080478,6.315409976392864e-11,-5.676666603035821e-11,1.0,False
core_leveraged,ETHT,ETHA,2.0176840506702956e-12,2.989161556548586e-12,0.0,0.0,0.43518550252296273,0.0912926623711659,1.668424623917469,4.388926588307009e-11,-4.1871581832399794e-11,1.0,False
core_leveraged,QUBX,QUBT,1.1565721763959245e-12,1.7134402613272953e-12,0.0,0.0,0.4952303000782936,0.1596750865129377,1.08552065831108,7.038309332363864e-11,-6.922652114724272e-11,1.0,False
core_leveraged,APPX,APP,1.0417859415904839e-13,1.54338658013405e-13,0.0,0.0,0.48721524137870775,0.11157769070000063,1.5283103047995483,6.609030986910355e-11,-6.59861312749445e-11,1.0,False
