etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.032522,0.75
ASTN,ASTS,-2.008189,0.75
AURU,AUR,-1.0,0.75
AXUP,AXON,-1.0,0.75
BEZ,BE,-2.013377,0.75
BKNU,BKNG,-1.0,0.75
BLSX,BLSH,-1.0,0.75
BMNZ,BMNR,-1.990211,0.75
CBRZ,CBRS,-2.0,0.75
CELT,CELH,-1.0,0.75
CLSZ,CLSK,-2.023835,0.75
CONI,COIN,-1.924131,0.75
CRCD,CRCL,-2.001613,0.75
CORD,CRWV,-2.009502,0.75
DASX,DASH,-1.0,0.75
DXD,DIA,-2.001924,0.75
SDOW,DIA,-2.999431,0.75
DKUP,DKNG,-1.0,0.75
HOOZ,HOOD,-2.000858,0.75
BTCZ,IBIT,-1.994866,0.75
IONZ,IONQ,-2.029026,0.75
IREZ,IREN,-2.017556,0.75
TWM,IWM,-2.002694,0.75
TZA,IWM,-2.9965,0.75
BTFL,KEEL,-1.0,0.75
LITZ,LITE,-2.0,0.75
LYFX,LYFT,-1.0,0.75
MSDD,MSTR,-1.983657,0.75
MSTZ,MSTR,-1.995797,0.75
SMST,MSTR,-1.970673,0.75
NBIZ,NBIS,-2.043571,0.75
NWMX,NEM,-1.0,0.75
NETX,NET,-1.0,0.75
NVD,NVDA,-2.002927,0.75
NVDS,NVDA,-1.494639,0.75
OKLS,OKLO,-2.004185,0.75
OKTX,OKTA,-1.0,0.75
QBTZ,QBTS,-2.003138,0.75
QID,QQQ,-1.996792,0.75
QSX,QS,-1.0,0.75
RGTZ,RGTI,-1.9949,0.75
RKLZ,RKLB,-2.009433,0.75
SMCZ,SMCI,-2.039283,0.75
SNDQ,SNDK,-2.0,0.75
HIBS,SPHB,-3.007602,0.75
SPXS,SPY,-2.996208,0.75
SPXU,SPY,-2.993683,0.75
UVIX,SVIX,-1.983207,0.75
TBT,TLT,-1.998303,0.75
TBX,TLT,-1.370396,0.75
TMV,TLT,-2.989938,0.75
TSDD,TSLA,-2.010699,0.75
STSM,TSM,-2.004423,0.75
PXIU,UPXI,-1.0,0.75
SCO,USO,-1.73632,0.75
DUG,XLE,-1.989781,0.75
SKF,XLF,-1.997882,0.75
FNGD,XLK,-2.914016,0.75
REW,XLK,-2.007185,0.75
TECS,XLK,-2.998757,0.75
WEBS,XLK,-2.794022,0.75
DRIP,XOP,-1.996656,0.75
GXRP,XRPZ,-1.0,0.75
XRP,XRPZ,-1.0,0.75
