source_detail_date,ETF,Underlying,inverse_etf_short_usd,underlying_short_usd
2026-07-18,ASTN,ASTS,37983.67969737,20287.8
2026-07-18,CONI,COIN,13412.0464086,13412.0464086
2026-07-18,CORD,CRWV,112355.24184093,0.5200069159230827
2026-07-18,DAMD,AMD,6148.794600000001,6148.794600000001
2026-07-18,EWV,EWJ,3380.4666225,1691.1
2026-07-18,FAZ,XLF,8352.5159,0.0
2026-07-18,IREZ,IREN,40998.15126846,40998.15126846
2026-07-18,LITZ,LITE,69213.1067244,13923.580000000002
2026-07-18,MSTZ,MSTR,21997.46229408,14701.75
2026-07-18,MUZ,MU,5813.5,5813.5
2026-07-18,NBIZ,NBIS,55983.77644398001,29499.86
2026-07-18,NVDQ,NVDA,6183.00885384,2030.959621
2026-07-18,QBTZ,QBTS,82786.11675012,0.0
2026-07-18,RKLZ,RKLB,27981.7822872,9128.7
2026-07-18,SDS,SPY,10778.87383264,1486.58
2026-07-18,SNDQ,SNDK,74849.24153524001,33870.5
2026-07-18,SPCG,SPCX,2222.64,2740.0734900000007
2026-07-18,SSPC,SPCX,2775.5200000000004,2740.0734900000007
2026-07-18,UVIX,SVIX,22451.21750649,19701.22
