etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.024557,1.0
ASTN,ASTS,-1.987552,1.0
AURU,AUR,-1.0,1.0
AXUP,AXON,-1.0,1.0
BEZ,BE,-2.011027,1.0
BKNU,BKNG,-1.0,1.0
BLSX,BLSH,-1.0,1.0
BMNZ,BMNR,-1.986354,1.0
CBRZ,CBRS,-2.0,1.0
CELT,CELH,-1.0,1.0
CONI,COIN,-1.924894,1.0
CRCD,CRCL,-1.992347,1.0
CORD,CRWV,-2.005439,1.0
DASX,DASH,-1.0,1.0
DXD,DIA,-2.002064,1.0
SDOW,DIA,-2.999202,1.0
DKUP,DKNG,-1.0,1.0
HOOZ,HOOD,-2.00744,1.0
BTCZ,IBIT,-1.996221,1.0
IONZ,IONQ,-2.013424,1.0
IREZ,IREN,-2.007334,1.0
TWM,IWM,-2.002775,1.0
TZA,IWM,-2.99731,1.0
BTFL,KEEL,-1.0,1.0
LITZ,LITE,-2.000024,1.0
LYFX,LYFT,-1.0,1.0
MSTZ,MSTR,-1.985285,1.0
SMST,MSTR,-1.960151,1.0
MUZ,MU,-2.0,1.0
NBIZ,NBIS,-2.037092,1.0
NWMX,NEM,-1.0,1.0
NETX,NET,-1.0,1.0
NVD,NVDA,-1.999965,1.0
NVDS,NVDA,-1.494925,1.0
OKLS,OKLO,-1.998819,1.0
OKTX,OKTA,-1.0,1.0
QBTZ,QBTS,-1.995638,1.0
QID,QQQ,-1.99489,1.0
QSX,QS,-1.0,1.0
RGTZ,RGTI,-1.983996,1.0
RKLZ,RKLB,-1.992383,1.0
SMCZ,SMCI,-2.007888,1.0
SNDQ,SNDK,-2.0315,1.0
SNK,SPCX,-2.0,1.0
SPCG,SPCX,-2.0,1.0
SSPC,SPCX,-2.0,1.0
HIBS,SPHB,-3.005866,1.0
SPXS,SPY,-2.993968,1.0
SPXU,SPY,-2.992039,1.0
UVIX,SVIX,-1.988955,1.0
TBT,TLT,-1.996711,1.0
TBX,TLT,-1.370326,1.0
TMV,TLT,-2.990006,1.0
TSDD,TSLA,-2.007267,1.0
STSM,TSM,-1.995759,1.0
PXIU,UPXI,-1.0,1.0
SCO,USO,-1.747824,1.0
DUG,XLE,-1.990497,1.0
SKF,XLF,-1.998423,1.0
FNGD,XLK,-2.903439,1.0
REW,XLK,-2.006284,1.0
TECS,XLK,-2.997354,1.0
WEBS,XLK,-2.742223,1.0
DRIP,XOP,-1.995666,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
