ETF,Underlying,is_yieldboost,scenario_style,Delta,Delta_n_obs,Delta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,vol_etf_annual_legacy,gross_decay_annual,gross_decay_annual_legacy_weekly,vol_underlying_annual,vol_underlying_annual_legacy,expense_ratio_annual,expense_ratio_source,underlying_borrow_annual,risk_free_rate_used,expected_gross_decay_annual,expected_gross_decay_annual_legacy,expected_gross_decay_reliable,blended_gross_decay,net_decay_annual,decay_score,expected_gross_decay_p10_annual,expected_gross_decay_p50_annual,expected_gross_decay_p90_annual,expected_gross_decay_mean_annual,expected_gross_decay_dist_model,expected_logIV_mu_annual,expected_logIV_sigma_annual,expected_gross_decay_dist_n_obs,expected_gross_decay_dist_horizon_days,asof_date,product_class,expected_decay_available,gross_edge_definition,primary_edge_annual,gross_for_primary_annual,borrow_for_net_annual,borrow_avg_annual,borrow_median_60d,net_edge_p05_annual,net_edge_p25_annual,net_edge_p50_annual,net_edge_p75_annual,net_edge_p95_annual,net_edge_hist_json,mechanical_decay_annual,realized_tracking_component_annual,slippage_proxy_annual,income_distributions_annual,block_len,B_reps,annualization_key,hac_lag,sigma_b_annual,stress_borrow_rho,copula_note,copula_type,borrow_dispersion_type,regime_autocorr_und_21d_proxy,regime_warning,high_intraday_risk,decomposition_note,borrow_weight_halflife_days,borrow_history_points_used,borrow_resample_mode,gross_anchor_shift_annual,gross_anchor_target_annual,gross_anchor_source,schema_v,edge_sign_convention,expected_gross_decay_simple_ito_annual,expected_gross_decay_adjusted_annual,expected_decay_adjustment_annual,expected_decay_model,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable,borrow_annual,strategy_tag,long_usd,short_usd,underlying_target_usd,etf_target_usd,underlying_target_from_b12_usd,underlying_target_from_b4_usd,underlying_internalized_usd,underlying_external_trade_usd,sleeve,b1_trend_xsec_pctile,b1_trend_multiplier,gross_target_usd,pair_override_gross_mult,pair_override_hedge_add,pair_override_note,ratchet_released,ratchet_trim_lambda,ratchet_trim_usd,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,borrow_underlying,keep_open,_plan_date
AMUU,AMD,False,,2.007666,265,ols,0.0489649999999999,2,0.0489649999999999,False,False,119.72000122070312,0.0489649999999999,1.0,False,True,False,False,False,False,False,True,False,1.177697,1.195574,0.522478,0.50771,0.592087,0.59652,0.0106,yfinance,0.0,0.03593,0.401414,0.406744,True,0.522478,0.473513,0.473513,0.401414,0.401414,0.401414,0.401414,simple_ito_fallback,-0.924224,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.473513,0.4619459999999999,0.0489649999999999,0.0325519245283018,0.042212,0.2446384638593734,0.3074087078392346,0.3648990467249881,0.417112415410203,0.4882388525569612,"{""e"":[0.205859,0.223078,0.240297,0.257516,0.274735,0.291955,0.309174,0.326393,0.343612,0.360831,0.37805,0.395269,0.412489,0.429708,0.446927,0.464146,0.481365,0.498584,0.515804,0.533023,0.550242],""c"":[8,6,15,17,21,30,29,29,34,34,34,34,17,26,15,21,9,10,1,2]}",0.401414,0.121064,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1227;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0477641353134386,none,False,ok,90.0,53.0,weighted_empirical,-0.1227487080984291,0.401414,simple_ito_fallback,2,short_favorable_positive,0.401414,,,simple_ito,0.5019165,0.6022997999999999,0.5019165,0.6022997999999999,bucket_1,,False,0.0489649999999999,ETF_LS,480.7155519415283,-239.44000244140625,480.7155519415283,-239.44000244140625,11071.24862334798,0.0,-0.0,11071.24862334798,core_leveraged,0.5,1.0,720.1555543829346,1.0,0.0,,False,0.0,0.0,5238.583213829619,3496.839544875148,-1741.743668954471,3496.839544875148,-1741.743668954471,haircut,shares_available,4518.427659446685,0.1374714354983914,0.0,False,2026-04-26
AMZU,AMZN,False,,1.988559,500,ols,0.08256,250000,0.08256,False,False,42.47999954223633,0.08256,1.0,False,True,False,False,False,False,False,False,False,0.613837,0.616809,0.21361,0.211421,0.308738,0.309507,0.0099,yfinance,0.0,0.03593,0.139108,0.139576,True,0.21361,0.13105,0.13105,0.139108,0.139108,0.139108,0.139108,simple_ito_fallback,-1.955261,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.13105,0.176359,0.08256,0.067332923076923,0.0553785,0.0034716777113184,0.0530055115268654,0.0790765435987545,0.0952809899125361,0.1163443655392865,"{""e"":[-0.037359,-0.028896,-0.020433,-0.01197,-0.003507,0.004957,0.01342,0.021883,0.030346,0.038809,0.047272,0.055736,0.064199,0.072662,0.081125,0.089588,0.098052,0.106515,0.114978,0.123441,0.131904],""c"":[2,3,3,2,9,6,7,10,20,15,25,27,31,50,50,48,44,19,16,5]}",0.139108,0.0745019999999999,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0739;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.2807639462693482,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,52.0,weighted_empirical,-0.0738636105334282,0.139108,simple_ito_fallback,2,short_favorable_positive,0.139108,,,simple_ito,0.49713975,0.5965676999999999,0.5,0.5965676999999999,bucket_1,,False,0.08256,ETF_LS,151.08958723005486,-75.97943396703586,151.08958723005486,-75.97943396703586,473.7169807374167,0.0,-0.0,473.7169807374167,core_leveraged,0.5,1.0,227.0690211970907,1.0,0.0,,False,0.0,0.0,227.0690211970907,151.08958723005486,-75.97943396703586,151.08958723005486,-75.97943396703586,haircut,haircut,0.0,1.0,0.0,False,2026-04-26
ASMU,ASML,False,,2.004162,50,ols,0.139625,10000,0.139625,False,False,24.790000915527344,0.139625,1.0,False,True,False,False,False,False,False,False,False,0.916573,0.932284,0.353366,0.330232,0.385654,0.384746,0.0097,yfinance,0.0,0.03593,0.195438,0.194734,True,0.226773,0.213741,0.087148,0.195438,0.195438,0.195438,0.195438,simple_ito_fallback,-1.638744,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.213741,0.274402,0.139625,0.083725,0.069396,-0.0600473573520053,0.0426100856166276,0.1116929541599205,0.1777694294547288,0.2713870652580549,"{""e"":[-0.144264,-0.120576,-0.096889,-0.073201,-0.049513,-0.025825,-0.002138,0.02155,0.045238,0.068926,0.092613,0.116301,0.139989,0.163677,0.187364,0.211052,0.23474,0.258428,0.282115,0.305803,0.329491],""c"":[2,5,8,7,15,16,22,24,37,27,38,35,41,31,29,23,9,12,5,6]}",0.195438,0.157928,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1553;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0043765769028896,none,False,ok,90.0,46.0,weighted_empirical,-0.1553070375904027,0.195438,simple_ito_fallback,2,short_favorable_positive,0.195438,,,simple_ito,0.5010405,0.6012486,0.5010405,0.6012486,bucket_1,,False,0.139625,ETF_LS,242.8702069894293,-121.18292183437732,242.8702069894293,-121.18292183437732,320.3968369703097,0.0,-0.0,320.3968369703097,core_leveraged,0.5,1.0,364.0531288238066,1.0,0.0,,False,0.0,0.0,364.0531288238066,242.8702069894293,-121.18292183437732,242.8702069894293,-121.18292183437732,haircut,haircut,0.0,1.0,0.0,False,2026-04-26
AVL,AVGO,False,,1.98656,384,ols,0.045164,150000,0.045164,False,False,60.11000061035156,0.045164,1.0,False,True,False,False,False,False,False,False,False,0.845873,0.850416,0.377142,0.373784,0.425506,0.425685,0.01,yfinance,0.0,0.03593,0.222869,0.223018,True,0.377142,0.331978,0.331978,0.222869,0.222869,0.222869,0.222869,simple_ito_fallback,-1.480897,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.331978,0.3000055,0.045164,0.0639423396226415,0.053771,0.0759658547127784,0.1232587952709268,0.1652056079145902,0.208091774973541,0.2647686527349817,"{""e"":[0.015713,0.030037,0.044361,0.058685,0.073009,0.087333,0.101657,0.115981,0.130305,0.144629,0.158953,0.173277,0.187602,0.201926,0.21625,0.230574,0.244898,0.259222,0.273546,0.28787,0.302194],""c"":[3,3,3,5,16,16,28,43,28,29,50,33,29,32,29,17,8,11,3,6]}",0.222869,0.1542729999999999,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1535;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.1306113501340135,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,53.0,weighted_empirical,-0.1535355571006345,0.222869,simple_ito_fallback,2,short_favorable_positive,0.222869,,,simple_ito,0.49664,0.595968,0.5,0.595968,bucket_1,,False,0.045164,ETF_LS,823.1097308307881,-414.339225007444,823.1097308307881,-414.339225007444,2596.558495346614,0.0,-0.0,2596.558495346614,core_leveraged,0.5,1.0,1237.448955838232,1.0,0.0,,False,0.0,0.0,1237.448955838232,823.1097308307881,-414.339225007444,823.1097308307881,-414.339225007444,haircut,haircut,0.0,1.0,0.0,False,2026-04-26
BOEU,BA,False,,1.995547,252,ols,0.051603,20000,0.051603,False,False,40.93999862670898,0.051603,1.0,False,True,False,False,False,False,False,False,False,0.602926,0.609096,0.197893,0.195302,0.30264,0.304282,0.0106,yfinance,0.0,0.03593,0.13735,0.13834,True,0.197893,0.14629,0.14629,0.13735,0.13735,0.13735,0.13735,simple_ito_fallback,-1.978531,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.14629,0.1676215,0.051603,0.063393,0.0547295,-0.0102915058741732,0.0437911391616234,0.0795724299859265,0.1146178165745777,0.169637478728945,"{""e"":[-0.035756,-0.023966,-0.012175,-0.000385,0.011406,0.023196,0.034987,0.046777,0.058568,0.070358,0.082148,0.093939,0.105729,0.11752,0.12931,0.141101,0.152891,0.164682,0.176472,0.188263,0.200053],""c"":[7,8,12,14,17,19,26,37,33,26,46,31,23,31,18,17,7,11,5,4]}",0.13735,0.060543,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0581;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0106364410505182,none,False,ok,90.0,54.0,weighted_empirical,-0.0581471971238791,0.13735,simple_ito_fallback,2,short_favorable_positive,0.13735,,,simple_ito,0.49888675,0.5986640999999999,0.5,0.5986640999999999,bucket_1,,False,0.051603,ETF_LS,190.02057921917145,-95.22230206513372,190.02057921917145,-95.22230206513372,309.3156108898613,0.0,-0.0,309.3156108898613,core_leveraged,0.5,1.0,285.2428812843052,1.0,0.0,,False,0.0,0.0,285.2428812843052,190.02057921917145,-95.22230206513372,190.02057921917145,-95.22230206513372,haircut,haircut,0.0,1.0,0.0,False,2026-04-26
BABU,BABA,False,,2.037119,49,ols,0.054564,35000,0.054564,False,False,15.670000076293944,0.054564,1.0,False,True,False,False,False,False,False,False,False,0.774812,0.762053,0.246098,0.240213,0.424055,0.429119,0.0097,yfinance,0.0,0.03593,0.236922,0.241486,True,0.238706,0.191534,0.184142,0.236922,0.236922,0.236922,0.236922,simple_ito_fallback,-1.49486,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.191534,0.24151,0.054564,0.0673167380952381,0.0536365,-0.0787477451346787,0.0823188293265421,0.1850504250973463,0.2800134250639158,0.3873748426935244,"{""e"":[-0.189088,-0.156885,-0.124682,-0.092479,-0.060276,-0.028073,0.00413,0.036333,0.068536,0.100739,0.132942,0.165145,0.197348,0.229551,0.261754,0.293957,0.326161,0.358364,0.390567,0.42277,0.454973],""c"":[5,3,5,9,7,12,21,23,22,41,26,38,34,26,40,32,20,13,11,4]}",0.236922,0.009176,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0143;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.1815547159046515,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,42.0,weighted_empirical,-0.0142986614529186,0.236922,simple_ito_fallback,2,short_favorable_positive,0.236922,,,simple_ito,0.50927975,0.6111357000000001,0.50927975,0.6111357000000001,bucket_1,,False,0.054564,ETF_LS,983.3697646507536,-482.7257340640157,983.3697646507536,-482.7257340640157,2478.379788155282,0.0,-0.0,2478.379788155282,core_leveraged,0.5,1.0,1466.0954987147693,1.0,0.0,,False,0.0,0.0,1466.0954987147693,983.3697646507536,-482.7257340640157,983.3697646507536,-482.7257340640157,haircut,haircut,0.0,1.0,0.0,False,2026-04-26
CONX,COIN,False,,2.004165,106,ols,0.1030219999999999,25000,0.1030219999999999,False,False,10.70699977874756,0.1030219999999999,1.0,False,True,False,False,False,False,False,False,False,1.473957,1.499437,0.702462,0.682141,0.718145,0.731244,0.0097,yfinance,0.0,0.03593,0.564738,0.583843,True,0.62267,0.5994400000000001,0.519648,0.564738,0.564738,0.564738,0.564738,simple_ito_fallback,-0.57763,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.5994400000000001,0.6335999999999999,0.1030219999999999,0.1564212444444444,0.153942,0.1926659864694236,0.3310878402151561,0.4036598945238802,0.4949593720622943,0.6363129881579787,"{""e"":[0.125786,0.155482,0.185178,0.214875,0.244571,0.274268,0.303964,0.33366,0.363357,0.393053,0.422749,0.452446,0.482142,0.511839,0.541535,0.571231,0.600928,0.630624,0.660321,0.690017,0.719713],""c"":[5,8,10,9,19,20,31,35,40,43,35,31,27,22,17,11,11,9,4,5]}",0.564738,0.137724,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1350;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.0852451241532657,mean_reversion,False,incomplete_regime,90.0,45.0,weighted_empirical,-0.1349845366956666,0.564738,simple_ito_fallback,2,short_favorable_positive,0.564738,,,simple_ito,0.50104125,0.6012495,0.50104125,0.6012495,bucket_1,,False,0.1030219999999999,ETF_LS,3949.49731631998,-1970.644790384016,3949.49731631998,-1970.644790384016,16412.80860973023,-8010.966166931949,8010.966166931949,8401.842442798279,core_leveraged,0.5,1.0,5920.142106703996,1.0,0.0,,False,0.0,0.0,5920.142106703996,3949.49731631998,-1970.644790384016,3949.49731631998,-1970.644790384016,haircut,haircut,0.0,1.0,0.0,False,2026-04-26
GGLL,GOOGL,False,,1.995613,500,ols,0.074459,650000,0.074459,False,False,110.66000366210938,0.074459,1.0,False,True,False,False,False,False,False,False,False,0.569471,0.569814,0.195149,0.188159,0.286507,0.284475,0.0096,yfinance,0.0,0.03593,0.126919,0.125767,True,0.195149,0.1206899999999999,0.1206899999999999,0.126919,0.126919,0.126919,0.126919,simple_ito_fallback,-2.057614,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.1206899999999999,0.161034,0.074459,0.0578205094339622,0.051304,0.019081963807306,0.0504419316689613,0.067844721070847,0.0858767123422448,0.1045586085608801,"{""e"":[0.008751,0.014252,0.019752,0.025252,0.030753,0.036253,0.041754,0.047254,0.052754,0.058255,0.063755,0.069256,0.074756,0.080256,0.085757,0.091257,0.096758,0.102258,0.107758,0.113259,0.118759],""c"":[4,14,8,10,11,15,19,29,24,36,37,36,27,25,34,23,20,9,8,3]}",0.126919,0.0682299999999999,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0673;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.1598134410107525,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,53.0,weighted_empirical,-0.067297195462697,0.126919,simple_ito_fallback,2,short_favorable_positive,0.126919,,,simple_ito,0.49890325,0.5986839,0.5,0.5986839,bucket_1,,False,0.074459,ETF_LS,111.76323869591528,-56.00446514224716,111.76323869591528,-56.00446514224716,424.6919855167988,0.0,-0.0,424.6919855167988,core_leveraged,0.5,1.0,167.76770383816245,1.0,0.0,,False,0.0,0.0,167.76770383816245,111.76323869591528,-56.00446514224716,111.76323869591528,-56.00446514224716,haircut,haircut,0.0,1.0,0.0,False,2026-04-26
HODU,HOOD,False,,2.008478,106,ols,0.111636,40000,0.111636,False,False,10.098999977111816,0.111636,1.0,False,True,False,False,False,False,False,False,False,1.439137,1.434024,0.692775,0.652009,0.65926,0.664001,0.0097,yfinance,0.0,0.03593,0.486101,0.492455,True,0.573035,0.5811390000000001,0.4613989999999999,0.486101,0.486101,0.486101,0.486101,simple_ito_fallback,-0.734011,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.5811390000000001,0.589438,0.111636,0.1405634782608695,0.152795,0.1680703508601345,0.2807445522937082,0.3484188586742709,0.4159943099473889,0.5179773492652362,"{""e"":[0.127244,0.15145,0.175655,0.19986,0.224066,0.248271,0.272476,0.296681,0.320887,0.345092,0.369297,0.393503,0.417708,0.441913,0.466119,0.490324,0.514529,0.538734,0.56294,0.587145,0.61135],""c"":[7,11,10,15,18,29,23,37,40,32,46,31,19,30,16,10,6,4,4,4]}",0.486101,0.206674,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.2111;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0486383086313124,none,False,ok,90.0,46.0,weighted_empirical,-0.2111103590993536,0.486101,simple_ito_fallback,2,short_favorable_positive,0.486101,,,simple_ito,0.5021195,0.6025434000000001,0.5021195,0.6025434000000001,bucket_1,,False,0.111636,ETF_LS,2957.714189382098,-1472.6146810580435,2957.714189382098,-1472.6146810580435,10862.686927027797,0.0,-0.0,10862.686927027797,core_leveraged,0.5,1.0,4430.328870440142,1.0,0.0,,False,0.0,0.0,4430.328870440142,2957.714189382098,-1472.6146810580435,2957.714189382098,-1472.6146810580435,haircut,haircut,0.0,1.0,0.0,False,2026-04-26
LINT,INTC,False,,1.998618,106,ols,0.171569,30000,0.171569,False,False,105.98999786376952,0.171569,1.0,False,True,False,False,False,False,False,False,False,1.556472,1.592733,0.713802,0.697859,0.663356,0.674965,0.0097,yfinance,0.0,0.03593,0.48471,0.500214,True,0.581074,0.5422330000000001,0.409505,0.48471,0.48471,0.48471,0.48471,simple_ito_fallback,-0.72213,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.5422330000000001,0.599256,0.171569,0.3157376304347826,0.243858,-0.1894770183183325,0.0363245605285297,0.2027246296371714,0.3430463871237615,0.5116770987265397,"{""e"":[-0.454356,-0.39785,-0.341344,-0.284838,-0.228332,-0.171826,-0.11532,-0.058814,-0.002308,0.054198,0.110704,0.16721,0.223716,0.280222,0.336728,0.393234,0.44974,0.506246,0.562752,0.619258,0.675764],""c"":[1,3,5,3,6,10,17,23,38,33,39,33,37,40,41,26,18,10,4,5]}",0.48471,0.229092,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.2357;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0532664150923686,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,46.0,weighted_empirical,-0.2356609885082133,0.48471,simple_ito_fallback,2,short_favorable_positive,0.48471,,,simple_ito,0.4996545,0.5995853999999999,0.5,0.5995853999999999,bucket_1,,False,0.171569,ETF_LS,877.0785346543848,-438.8425074998749,877.0785346543848,-438.8425074998749,5500.094047280471,0.0,-0.0,5500.094047280471,core_leveraged,0.5,1.0,1315.9210421542596,1.0,0.0,,False,0.0,0.0,1315.9210421542596,877.0785346543848,-438.8425074998749,877.0785346543848,-438.8425074998749,haircut,haircut,0.0,1.0,0.0,False,2026-04-26
ELIL,LLY,False,,1.992694,270,ols,0.117593,10000,0.117593,False,False,17.700000762939453,0.117593,1.0,False,True,False,False,False,False,False,False,False,0.799431,0.776527,0.284138,0.275669,0.395143,0.390979,0.0107,yfinance,0.0,0.03593,0.200799,0.197561,True,0.284138,0.166545,0.166545,0.200799,0.200799,0.200799,0.200799,simple_ito_fallback,-1.594458,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.166545,0.2424685,0.117593,0.1251835283018868,0.121754,-0.0277788057563638,0.0316992137560888,0.0718628833031871,0.1196078130876827,0.1840380889416905,"{""e"":[-0.176934,-0.157344,-0.137753,-0.118163,-0.098573,-0.078983,-0.059393,-0.039803,-0.020213,-0.000623,0.018967,0.038558,0.058148,0.077738,0.097328,0.116918,0.136508,0.156098,0.175688,0.195278,0.214869],""c"":[2,0,0,2,0,4,5,10,17,34,40,47,47,39,46,29,32,18,9,11]}",0.200799,0.083339,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0886;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.414970112656932,mean_reversion,False,incomplete_regime,90.0,53.0,weighted_empirical,-0.0886269539315291,0.200799,simple_ito_fallback,2,short_favorable_positive,0.200799,,,simple_ito,0.4981735,0.5978082,0.5,0.5978082,bucket_1,,False,0.117593,ETF_LS,86.33951207102487,-43.32803334130824,86.33951207102487,-43.32803334130824,594.9977554633386,0.0,-0.0,594.9977554633386,core_leveraged,0.5,1.0,129.6675454123331,1.0,0.0,,False,0.0,0.0,129.6675454123331,86.33951207102487,-43.32803334130824,86.33951207102487,-43.32803334130824,haircut,haircut,0.0,1.0,0.0,False,2026-04-26
METU,META,False,,1.998177,471,ols,0.070181,300000,0.070181,False,False,30.700000762939453,0.070181,1.0,False,True,False,False,False,False,False,False,False,0.701276,0.706557,0.242245,0.239975,0.350585,0.352787,0.0102,yfinance,0.0,0.03593,0.168638,0.170183,True,0.242245,0.172064,0.172064,0.168638,0.168638,0.168638,0.168638,simple_ito_fallback,-1.777264,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.172064,0.2054415,0.070181,0.0826911509433962,0.078108,0.0244168105770846,0.0574630673249137,0.0832473351187761,0.1042778965422356,0.1404657039233964,"{""e"":[0.010603,0.018605,0.026608,0.034611,0.042613,0.050616,0.058619,0.066621,0.074624,0.082627,0.090629,0.098632,0.106635,0.114637,0.12264,0.130643,0.138645,0.146648,0.154651,0.162653,0.170656],""c"":[12,7,17,11,24,27,27,32,37,36,38,33,30,18,19,6,8,4,3,3]}",0.168638,0.0736069999999999,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0738;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0889211585289328,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,53.0,weighted_empirical,-0.0737727187383139,0.168638,simple_ito_fallback,2,short_favorable_positive,0.168638,,,simple_ito,0.49954425,0.5994531,0.5,0.5994531,bucket_1,,False,0.070181,ETF_LS,185.1094436419802,-92.63916241753368,185.1094436419802,-92.63916241753368,1538.2140122781548,0.0,-0.0,1538.2140122781548,core_leveraged,0.5,1.0,277.74860605951386,1.0,0.0,,False,0.0,0.0,277.74860605951386,185.1094436419802,-92.63916241753368,185.1094436419802,-92.63916241753368,haircut,haircut,0.0,1.0,0.0,False,2026-04-26
MSFU,MSFT,False,,1.992034,500,ols,0.034848,650000,0.034848,False,False,29.8799991607666,0.034848,1.0,False,True,False,False,False,False,False,False,False,0.50132,0.495095,0.166315,0.163268,0.24784,0.246796,0.0098,yfinance,0.0,0.03593,0.106136,0.105626,True,0.166315,0.131467,0.131467,0.106136,0.106136,0.106136,0.106136,simple_ito_fallback,-2.231045,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.131467,0.1362255,0.034848,0.0384176111111111,0.036028,0.0397335690591106,0.055689547339194,0.0674526058250028,0.0802589626709944,0.0986380937331149,"{""e"":[0.025667,0.030012,0.034357,0.038702,0.043048,0.047393,0.051738,0.056083,0.060429,0.064774,0.069119,0.073464,0.077809,0.082155,0.0865,0.090845,0.09519,0.099536,0.103881,0.108226,0.112571],""c"":[6,2,6,13,19,18,34,27,33,56,25,39,34,22,17,14,12,7,3,5]}",0.106136,0.0601789999999999,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0589;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.0684075748645685,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,54.0,weighted_empirical,-0.0589408111845746,0.106136,simple_ito_fallback,2,short_favorable_positive,0.106136,,,simple_ito,0.4980085,0.5976102,0.5,0.5976102,bucket_1,,False,0.034848,ETF_LS,152.35746483051636,-76.4833656606847,152.35746483051636,-76.4833656606847,361.5341027214588,0.0,-0.0,361.5341027214588,core_leveraged,0.5,1.0,228.84083049120107,1.0,0.0,,False,0.0,0.0,228.84083049120107,152.35746483051636,-76.4833656606847,152.35746483051636,-76.4833656606847,haircut,haircut,0.0,1.0,0.0,False,2026-04-26
MUU,MU,False,,1.993611,384,ols,0.0511709999999999,250000,0.0511709999999999,False,False,250.1000061035156,0.0511709999999999,1.0,False,True,False,False,False,False,False,False,False,1.182346,1.177607,0.525712,0.520389,0.596878,0.589968,0.0101,yfinance,0.0,0.03593,0.398657,0.390534,True,0.525712,0.474541,0.474541,0.398657,0.398657,0.398657,0.398657,simple_ito_fallback,-0.910045,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.474541,0.4621845,0.0511709999999999,0.0385253207547169,0.044368,0.2581002261585716,0.3137210191031679,0.3504905031466115,0.4039012392003036,0.4741864570042582,"{""e"":[0.209177,0.224374,0.23957,0.254767,0.269964,0.285161,0.300358,0.315555,0.330751,0.345948,0.361145,0.376342,0.391539,0.406736,0.421932,0.437129,0.452326,0.467523,0.48272,0.497917,0.513113],""c"":[4,2,8,14,22,19,29,37,48,26,40,31,21,22,18,18,13,9,6,5]}",0.398657,0.1270549999999999,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1289;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.0340048864498684,none,False,ok,90.0,53.0,weighted_empirical,-0.1289159006589138,0.398657,simple_ito_fallback,2,short_favorable_positive,0.398657,,,simple_ito,0.49840275,0.5980833,0.5,0.5980833,bucket_1,,False,0.0511709999999999,ETF_LS,3250.8945067138347,-1630.6563851793728,3250.8945067138347,-1630.6563851793728,5408.5137186374295,0.0,-0.0,5408.5137186374295,core_leveraged,0.5,1.0,4881.550891893208,1.0,0.0,,False,0.0,0.0,4881.550891893208,3250.8945067138347,-1630.6563851793728,3250.8945067138347,-1630.6563851793728,haircut,haircut,0.0,1.0,0.0,False,2026-04-26
