date,plan_date,n_pairs,turnover_step,turnover_usd,txn_cost_usd,target_planned_gross_usd,target_tradeable_gross_usd,deployed_gross_usd,untradeable_plan_gross_usd,blocked_pairs,n_added,n_exited,n_resize_candidates,n_resized,equity
2025-12-29,2025-12-28,91,0.023049409523809516,24201.879999999994,50.73038053336464,24999.729999999996,24201.879999999997,24201.879999999957,797.8499999999985,0,91,0,0,0,1049949.2696194667
2025-12-30,2025-12-29,91,0.29915285473347836,314095.321331994,658.247737498823,399978.81666851783,387213.53528548,338224.3914911338,12765.281383037858,1,0,0,91,90,1049285.9360285238
2025-12-31,2025-12-30,89,0.19817431083502493,207941.51724133675,436.7337195640283,99911.66220322762,96653.67321833977,137627.5886282776,3257.988984887852,0,5,7,84,84,1048632.3623932183
2026-01-02,2025-12-31,89,0.0,0.0,0.0,99863.53728771259,96607.11759354803,139934.39601842428,3256.419694164564,0,0,0,84,0,1048563.7861168666
2026-01-09,2025-12-31,89,0.00024826495621276413,260.3170229486226,0.527004941906922,99860.8384779125,96604.50678841537,142350.28544799634,3256.331689497136,0,0,0,87,1,1048534.9216997034
2026-01-16,2025-12-31,89,0.0032429092570260077,3399.120077208334,7.085544455429844,99809.73829301777,96555.07291389763,141548.94123890356,3254.665379120139,0,0,0,83,5,1047991.8129357559
2026-01-23,2025-12-31,89,0.0002552488702599,267.5603706976216,0.5471033234793831,99832.55144868483,96577.14216231465,138330.13602043228,3255.409286370181,0,0,0,83,1,1048237.8887448724
2026-01-30,2025-12-31,89,0.0005295895716880848,555.2277418210249,1.1165037689374062,99861.8306318208,96605.46658947883,131253.07764711615,3256.364042341971,0,0,0,73,2,1048544.7497835773
2026-02-06,2025-12-31,89,0.00029094618650240314,305.1106912669652,0.6348942631291008,99909.16184108422,96651.25438974453,121316.57722652578,3257.9074513396918,0,0,0,54,1,1049042.2075000254
2026-02-13,2025-12-31,89,0.0,0.0,0.0,99922.2278249701,96663.89430893844,117639.24439935079,3258.3335160316637,0,0,0,49,0,1049180.0347860747
2026-02-20,2025-12-31,89,0.0,0.0,0.0,99916.99207853948,96658.82929336971,118867.51895372194,3258.1627851697704,0,0,0,49,0,1049125.0596244736
2026-02-27,2025-12-31,89,0.00025580562598102803,268.4235125316758,0.5430075646952262,99925.09915481023,96666.67200845772,119063.24825162347,3258.4271463525074,0,0,0,53,1,1049209.640645355
2026-03-02,2026-02-28,53,2.1942810520686518,2302260.8341158614,4978.6980649300285,2241367.907503592,2241367.9075035914,2216903.5386897484,4.656612873077393e-10,0,39,75,14,14,1044350.8466464893
2026-03-03,2026-03-02,58,0.662852367267279,692250.4309572126,1517.1728692856027,2230244.167412063,2191516.7406030693,2283992.2189351893,38727.4268089938,0,11,6,42,6,1042604.6283535903
2026-03-04,2026-03-03,49,0.4480855658962457,467176.0849018634,1040.1228410746123,2232228.2120686076,2232228.2120686076,2102509.6062608287,0.0,0,0,9,45,24,1044010.5382397341
