,BOOK_NAV,core_leveraged,yieldboost,inverse_decay_bucket4,volatility_etp_bucket5
2025-05-01,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-02,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-05,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-06,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-07,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-08,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-09,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-12,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-13,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-14,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-15,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-16,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-19,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-20,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-21,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-22,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-23,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-27,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-28,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-29,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-05-30,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-02,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-03,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-04,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-05,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-06,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-09,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-10,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-11,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-12,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-13,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-16,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-17,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-18,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-20,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-23,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-24,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-25,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-26,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-27,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-06-30,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-01,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-02,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-03,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-07,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-08,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-09,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-10,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-11,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-14,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-15,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-16,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-17,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-18,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-21,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-22,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-23,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-24,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-25,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-28,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-29,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-30,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-07-31,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-08-01,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-08-04,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-08-05,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-08-06,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-08-07,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-08-08,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-08-11,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-08-12,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-08-13,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-08-14,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-08-15,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
2025-08-18,1050000.0,1050000.0,1050000.0,1050000.0,1050000.0
