ETF,Underlying,is_yieldboost,scenario_style,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,vol_etf_annual_legacy,gross_decay_annual,gross_decay_annual_legacy_weekly,vol_underlying_annual,vol_underlying_annual_legacy,expense_ratio_annual,expense_ratio_source,underlying_borrow_annual,risk_free_rate_used,expected_gross_decay_annual,expected_gross_decay_annual_legacy,expected_gross_decay_reliable,blended_gross_decay,net_decay_annual,decay_score,expected_gross_decay_p10_annual,expected_gross_decay_p50_annual,expected_gross_decay_p90_annual,expected_gross_decay_mean_annual,expected_gross_decay_dist_model,expected_logIV_mu_annual,expected_logIV_sigma_annual,expected_gross_decay_dist_n_obs,expected_gross_decay_dist_horizon_days,asof_date,product_class,expected_decay_available,gross_edge_definition,primary_edge_annual,gross_for_primary_annual,borrow_for_net_annual,borrow_avg_annual,borrow_median_60d,net_edge_p05_annual,net_edge_p25_annual,net_edge_p50_annual,net_edge_p75_annual,net_edge_p95_annual,net_edge_hist_json,mechanical_decay_annual,realized_tracking_component_annual,slippage_proxy_annual,income_distributions_annual,block_len,B_reps,annualization_key,hac_lag,sigma_b_annual,stress_borrow_rho,copula_note,copula_type,borrow_dispersion_type,regime_autocorr_und_21d_proxy,regime_warning,high_intraday_risk,decomposition_note,borrow_weight_halflife_days,borrow_history_points_used,borrow_resample_mode,gross_anchor_shift_annual,gross_anchor_target_annual,gross_anchor_source,schema_v,edge_sign_convention,expected_gross_decay_simple_ito_annual,expected_gross_decay_adjusted_annual,expected_decay_adjustment_annual,expected_decay_model,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,bucket,bucket4_net_edge_annual,inverse_shortable
AAPU,AAPL,False,,1.98619,500,ols,0.095805,250000,0.095805,False,False,31.670000076293945,0.095805,1.0,False,,True,False,False,False,False,False,False,False,0.465012,0.468398,0.175228,0.173629,0.233336,0.234047,0.0096,yfinance,0.0,0.03593,0.098357,0.098682,True,0.175228,0.079423,0.079423,0.098357,0.098357,0.098357,0.098357,simple_ito_fallback,-2.298316,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.079423,0.13679249999999998,0.095805,0.09178014814814818,0.095639,-0.07648562735400125,-0.01855576180770465,0.0036285764444687063,0.02829987813920365,0.06341100503449887,"{""e"":[-0.105842,-0.096359,-0.086876,-0.077393,-0.06791,-0.058427,-0.048944,-0.039461,-0.029978,-0.020495,-0.011012,-0.001529,0.007954,0.017437,0.02692,0.036403,0.045886,0.055369,0.064852,0.074335,0.083818],""c"":[4,7,4,6,4,7,14,15,27,44,39,42,47,33,31,20,21,14,10,3]}",0.098357,0.076871,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0768;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.07538062279727409,mean_reversion,False,incomplete_regime,90.0,54.0,weighted_empirical,-0.07679852244875138,0.098357,simple_ito_fallback,2,short_favorable_positive,0.098357,,,simple_ito,0.4965475,0.595857,0.5,0.595857,bucket_1,,False
AMUU,AMD,False,,2.007666,265,ols,0.048964999999999995,2,0.048964999999999995,False,False,119.72000122070312,0.048964999999999995,1.0,False,,True,False,False,False,False,False,True,False,1.177697,1.195574,0.522478,0.50771,0.592087,0.59652,0.0106,yfinance,0.0,0.03593,0.401414,0.406744,True,0.522478,0.473513,0.473513,0.401414,0.401414,0.401414,0.401414,simple_ito_fallback,-0.924224,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.473513,0.46194599999999997,0.048964999999999995,0.032551924528301884,0.042212,0.24463846385937346,0.3074087078392346,0.3648990467249881,0.41711241541020305,0.48823885255696126,"{""e"":[0.205859,0.223078,0.240297,0.257516,0.274735,0.291955,0.309174,0.326393,0.343612,0.360831,0.37805,0.395269,0.412489,0.429708,0.446927,0.464146,0.481365,0.498584,0.515804,0.533023,0.550242],""c"":[8,6,15,17,21,30,29,29,34,34,34,34,17,26,15,21,9,10,1,2]}",0.401414,0.121064,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1227;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.04776413531343861,none,False,ok,90.0,53.0,weighted_empirical,-0.12274870809842914,0.401414,simple_ito_fallback,2,short_favorable_positive,0.401414,,,simple_ito,0.5019165,0.6022997999999999,0.5019165,0.6022997999999999,bucket_1,,False
AMZU,AMZN,False,,1.988559,500,ols,0.08256000000000001,250000,0.08256000000000001,False,False,42.47999954223633,0.08256000000000001,1.0,False,,True,False,False,False,False,False,False,False,0.613837,0.616809,0.21361,0.211421,0.308738,0.309507,0.0099,yfinance,0.0,0.03593,0.139108,0.139576,True,0.21361,0.13105,0.13105,0.139108,0.139108,0.139108,0.139108,simple_ito_fallback,-1.955261,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.13105,0.176359,0.08256000000000001,0.06733292307692308,0.0553785,0.003471677711318402,0.0530055115268654,0.07907654359875452,0.09528098991253613,0.11634436553928656,"{""e"":[-0.037359,-0.028896,-0.020433,-0.01197,-0.003507,0.004957,0.01342,0.021883,0.030346,0.038809,0.047272,0.055736,0.064199,0.072662,0.081125,0.089588,0.098052,0.106515,0.114978,0.123441,0.131904],""c"":[2,3,3,2,9,6,7,10,20,15,25,27,31,50,50,48,44,19,16,5]}",0.139108,0.07450199999999998,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0739;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.28076394626934825,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,52.0,weighted_empirical,-0.07386361053342821,0.139108,simple_ito_fallback,2,short_favorable_positive,0.139108,,,simple_ito,0.49713975,0.5965676999999999,0.5,0.5965676999999999,bucket_1,,False
ASMU,ASML,False,,2.004162,50,ols,0.139625,10000,0.139625,False,False,24.790000915527344,0.139625,1.0,False,,True,False,False,False,False,False,False,False,0.916573,0.932284,0.353366,0.330232,0.385654,0.384746,0.0097,yfinance,0.0,0.03593,0.195438,0.194734,True,0.226773,0.21374100000000001,0.087148,0.195438,0.195438,0.195438,0.195438,simple_ito_fallback,-1.638744,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.21374100000000001,0.27440200000000003,0.139625,0.08372500000000001,0.069396,-0.060047357352005365,0.04261008561662763,0.11169295415992057,0.17776942945472887,0.27138706525805495,"{""e"":[-0.144264,-0.120576,-0.096889,-0.073201,-0.049513,-0.025825,-0.002138,0.02155,0.045238,0.068926,0.092613,0.116301,0.139989,0.163677,0.187364,0.211052,0.23474,0.258428,0.282115,0.305803,0.329491],""c"":[2,5,8,7,15,16,22,24,37,27,38,35,41,31,29,23,9,12,5,6]}",0.195438,0.157928,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1553;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.004376576902889662,none,False,ok,90.0,46.0,weighted_empirical,-0.1553070375904027,0.195438,simple_ito_fallback,2,short_favorable_positive,0.195438,,,simple_ito,0.5010405,0.6012486,0.5010405,0.6012486,bucket_1,,False
AVL,AVGO,False,,1.98656,384,ols,0.045164,150000,0.045164,False,False,60.11000061035156,0.045164,1.0,False,,True,False,False,False,False,False,False,False,0.845873,0.850416,0.377142,0.373784,0.425506,0.425685,0.01,yfinance,0.0,0.03593,0.222869,0.223018,True,0.377142,0.331978,0.331978,0.222869,0.222869,0.222869,0.222869,simple_ito_fallback,-1.480897,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.331978,0.3000055,0.045164,0.06394233962264152,0.053771,0.07596585471277842,0.12325879527092683,0.16520560791459027,0.208091774973541,0.26476865273498174,"{""e"":[0.015713,0.030037,0.044361,0.058685,0.073009,0.087333,0.101657,0.115981,0.130305,0.144629,0.158953,0.173277,0.187602,0.201926,0.21625,0.230574,0.244898,0.259222,0.273546,0.28787,0.302194],""c"":[3,3,3,5,16,16,28,43,28,29,50,33,29,32,29,17,8,11,3,6]}",0.222869,0.15427299999999997,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1535;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.13061135013401357,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,53.0,weighted_empirical,-0.15353555710063457,0.222869,simple_ito_fallback,2,short_favorable_positive,0.222869,,,simple_ito,0.49664,0.595968,0.5,0.595968,bucket_1,,False
BOEU,BA,False,,1.995547,252,ols,0.051603,20000,0.051603,False,False,40.939998626708984,0.051603,1.0,False,,True,False,False,False,False,False,False,False,0.602926,0.609096,0.197893,0.195302,0.30264,0.304282,0.0106,yfinance,0.0,0.03593,0.13735,0.13834,True,0.197893,0.14629,0.14629,0.13735,0.13735,0.13735,0.13735,simple_ito_fallback,-1.978531,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.14629,0.1676215,0.051603,0.063393,0.0547295,-0.010291505874173278,0.043791139161623416,0.07957242998592653,0.11461781657457776,0.16963747872894505,"{""e"":[-0.035756,-0.023966,-0.012175,-0.000385,0.011406,0.023196,0.034987,0.046777,0.058568,0.070358,0.082148,0.093939,0.105729,0.11752,0.12931,0.141101,0.152891,0.164682,0.176472,0.188263,0.200053],""c"":[7,8,12,14,17,19,26,37,33,26,46,31,23,31,18,17,7,11,5,4]}",0.13735,0.060543000000000013,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0581;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.01063644105051822,none,False,ok,90.0,54.0,weighted_empirical,-0.058147197123879196,0.13735,simple_ito_fallback,2,short_favorable_positive,0.13735,,,simple_ito,0.49888675,0.5986640999999999,0.5,0.5986640999999999,bucket_1,,False
BABU,BABA,False,,2.037119,49,ols,0.054564,35000,0.054564,False,False,15.670000076293945,0.054564,1.0,False,,True,False,False,False,False,False,False,False,0.774812,0.762053,0.246098,0.240213,0.424055,0.429119,0.0097,yfinance,0.0,0.03593,0.236922,0.241486,True,0.238706,0.191534,0.184142,0.236922,0.236922,0.236922,0.236922,simple_ito_fallback,-1.49486,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.191534,0.24151,0.054564,0.06731673809523811,0.053636500000000004,-0.0787477451346787,0.08231882932654211,0.18505042509734632,0.28001342506391586,0.3873748426935244,"{""e"":[-0.189088,-0.156885,-0.124682,-0.092479,-0.060276,-0.028073,0.00413,0.036333,0.068536,0.100739,0.132942,0.165145,0.197348,0.229551,0.261754,0.293957,0.326161,0.358364,0.390567,0.42277,0.454973],""c"":[5,3,5,9,7,12,21,23,22,41,26,38,34,26,40,32,20,13,11,4]}",0.236922,0.009176000000000017,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0143;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.18155471590465153,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,42.0,weighted_empirical,-0.014298661452918665,0.236922,simple_ito_fallback,2,short_favorable_positive,0.236922,,,simple_ito,0.50927975,0.6111357000000001,0.50927975,0.6111357000000001,bucket_1,,False
BRKU,BRK-B,False,,1.946855,341,ols,0.073029,150000,0.073029,False,False,20.770000457763672,0.073029,1.0,False,,True,False,False,False,False,False,False,False,0.298386,0.294789,0.137246,0.135131,0.153018,0.152297,0.0102,yfinance,0.0,0.03593,0.065802,0.065599,True,0.137246,0.06421700000000001,0.06421700000000001,0.065802,0.065802,0.065802,0.065802,simple_ito_fallback,-2.639564,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.06421700000000001,0.101524,0.073029,0.10341395918367347,0.087698,-0.13344058020520264,-0.06449229788295041,-0.03378181740391784,-0.0073445044712707255,0.02975199348204922,"{""e"":[-0.258016,-0.242286,-0.226556,-0.210826,-0.195096,-0.179366,-0.163636,-0.147906,-0.132177,-0.116447,-0.100717,-0.084987,-0.069257,-0.053527,-0.037797,-0.022067,-0.006337,0.009393,0.025123,0.040852,0.056582],""c"":[1,0,1,2,1,4,1,8,7,8,20,32,42,53,60,57,33,37,20,5]}",0.065802,0.07144400000000001,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0715;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.035163964479230016,none,False,ok,90.0,49.0,weighted_empirical,-0.07145459283607455,0.065802,simple_ito_fallback,2,short_favorable_positive,0.065802,,,simple_ito,0.48671375,0.5840565,0.5,0.5840565,bucket_1,,False
CONX,COIN,False,,2.004165,106,ols,0.10302199999999999,25000,0.10302199999999999,False,False,10.706999778747559,0.10302199999999999,1.0,False,,True,False,False,False,False,False,False,False,1.473957,1.499437,0.702462,0.682141,0.718145,0.731244,0.0097,yfinance,0.0,0.03593,0.564738,0.583843,True,0.62267,0.5994400000000001,0.519648,0.564738,0.564738,0.564738,0.564738,simple_ito_fallback,-0.57763,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.5994400000000001,0.6335999999999999,0.10302199999999999,0.15642124444444447,0.153942,0.19266598646942368,0.3310878402151561,0.4036598945238802,0.4949593720622943,0.6363129881579787,"{""e"":[0.125786,0.155482,0.185178,0.214875,0.244571,0.274268,0.303964,0.33366,0.363357,0.393053,0.422749,0.452446,0.482142,0.511839,0.541535,0.571231,0.600928,0.630624,0.660321,0.690017,0.719713],""c"":[5,8,10,9,19,20,31,35,40,43,35,31,27,22,17,11,11,9,4,5]}",0.564738,0.13772400000000007,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.1350;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.08524512415326573,mean_reversion,False,incomplete_regime,90.0,45.0,weighted_empirical,-0.13498453669566668,0.564738,simple_ito_fallback,2,short_favorable_positive,0.564738,,,simple_ito,0.50104125,0.6012495,0.50104125,0.6012495,bucket_1,,False
CSCL,CSCO,False,,2.022857,209,ols,0.09885300000000001,10000,0.09885300000000001,False,False,37.709999084472656,0.09885300000000001,1.0,False,,True,False,False,False,False,False,False,False,0.555009,0.531734,0.195527,0.195756,0.257426,0.252303,0.0107,yfinance,0.0,0.03593,0.116009,0.113307,True,0.181958,0.096674,0.083105,0.116009,0.116009,0.116009,0.116009,simple_ito_fallback,-2.188051,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.096674,0.15576800000000002,0.09885300000000001,0.08898642592592593,0.094104,-0.06366158492035229,-0.012040545871769111,0.023857603789978282,0.05786533373430569,0.11179088096830679,"{""e"":[-0.102713,-0.090866,-0.079019,-0.067172,-0.055324,-0.043477,-0.03163,-0.019783,-0.007936,0.003911,0.015758,0.027606,0.039453,0.0513,0.063147,0.074994,0.086841,0.098688,0.110536,0.122383,0.13423],""c"":[2,4,7,7,13,21,26,24,38,24,39,41,39,22,23,16,20,8,9,9]}",0.116009,0.079518,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0817;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.005157572659147752,none,False,ok,90.0,54.0,weighted_empirical,-0.08171791043437013,0.116009,simple_ito_fallback,2,short_favorable_positive,0.116009,,,simple_ito,0.50571425,0.6068571,0.50571425,0.6068571,bucket_1,,False
GGLL,GOOGL,False,,1.995613,500,ols,0.074459,650000,0.074459,False,False,110.66000366210938,0.074459,1.0,False,,True,False,False,False,False,False,False,False,0.569471,0.569814,0.195149,0.188159,0.286507,0.284475,0.0096,yfinance,0.0,0.03593,0.126919,0.125767,True,0.195149,0.12068999999999999,0.12068999999999999,0.126919,0.126919,0.126919,0.126919,simple_ito_fallback,-2.057614,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.12068999999999999,0.161034,0.074459,0.05782050943396227,0.051304,0.019081963807306,0.050441931668961326,0.06784472107084706,0.08587671234224484,0.10455860856088019,"{""e"":[0.008751,0.014252,0.019752,0.025252,0.030753,0.036253,0.041754,0.047254,0.052754,0.058255,0.063755,0.069256,0.074756,0.080256,0.085757,0.091257,0.096758,0.102258,0.107758,0.113259,0.118759],""c"":[4,14,8,10,11,15,19,29,24,36,37,36,27,25,34,23,20,9,8,3]}",0.126919,0.06822999999999999,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0673;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.15981344101075254,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,53.0,weighted_empirical,-0.06729719546269705,0.126919,simple_ito_fallback,2,short_favorable_positive,0.126919,,,simple_ito,0.49890325,0.5986839,0.5,0.5986839,bucket_1,,False
HODU,HOOD,False,,2.008478,106,ols,0.11163600000000001,40000,0.11163600000000001,False,False,10.098999977111816,0.11163600000000001,1.0,False,,True,False,False,False,False,False,False,False,1.439137,1.434024,0.692775,0.652009,0.65926,0.664001,0.0097,yfinance,0.0,0.03593,0.486101,0.492455,True,0.573035,0.5811390000000001,0.46139899999999995,0.486101,0.486101,0.486101,0.486101,simple_ito_fallback,-0.734011,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.5811390000000001,0.589438,0.11163600000000001,0.14056347826086957,0.15279500000000001,0.16807035086013455,0.28074455229370826,0.3484188586742709,0.41599430994738895,0.5179773492652362,"{""e"":[0.127244,0.15145,0.175655,0.19986,0.224066,0.248271,0.272476,0.296681,0.320887,0.345092,0.369297,0.393503,0.417708,0.441913,0.466119,0.490324,0.514529,0.538734,0.56294,0.587145,0.61135],""c"":[7,11,10,15,18,29,23,37,40,32,46,31,19,30,16,10,6,4,4,4]}",0.486101,0.20667400000000002,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.2111;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.04863830863131245,none,False,ok,90.0,46.0,weighted_empirical,-0.2111103590993536,0.486101,simple_ito_fallback,2,short_favorable_positive,0.486101,,,simple_ito,0.5021195,0.6025434000000001,0.5021195,0.6025434000000001,bucket_1,,False
LINT,INTC,False,,1.998618,106,ols,0.171569,30000,0.171569,False,False,105.98999786376953,0.171569,1.0,False,,True,False,False,False,False,False,False,False,1.556472,1.592733,0.713802,0.697859,0.663356,0.674965,0.0097,yfinance,0.0,0.03593,0.48471,0.500214,True,0.581074,0.5422330000000001,0.409505,0.48471,0.48471,0.48471,0.48471,simple_ito_fallback,-0.72213,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.5422330000000001,0.599256,0.171569,0.31573763043478265,0.24385800000000002,-0.18947701831833255,0.03632456052852975,0.20272462963717144,0.34304638712376156,0.5116770987265397,"{""e"":[-0.454356,-0.39785,-0.341344,-0.284838,-0.228332,-0.171826,-0.11532,-0.058814,-0.002308,0.054198,0.110704,0.16721,0.223716,0.280222,0.336728,0.393234,0.44974,0.506246,0.562752,0.619258,0.675764],""c"":[1,3,5,3,6,10,17,23,38,33,39,33,37,40,41,26,18,10,4,5]}",0.48471,0.22909200000000007,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.2357;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.05326641509236866,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,46.0,weighted_empirical,-0.23566098850821338,0.48471,simple_ito_fallback,2,short_favorable_positive,0.48471,,,simple_ito,0.4996545,0.5995853999999999,0.5,0.5995853999999999,bucket_1,,False
ELIL,LLY,False,,1.992694,270,ols,0.117593,10000,0.117593,False,False,17.700000762939453,0.117593,1.0,False,,True,False,False,False,False,False,False,False,0.799431,0.776527,0.284138,0.275669,0.395143,0.390979,0.0107,yfinance,0.0,0.03593,0.200799,0.197561,True,0.284138,0.166545,0.166545,0.200799,0.200799,0.200799,0.200799,simple_ito_fallback,-1.594458,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.166545,0.2424685,0.117593,0.1251835283018868,0.121754,-0.02777880575636383,0.03169921375608881,0.07186288330318716,0.1196078130876827,0.18403808894169052,"{""e"":[-0.176934,-0.157344,-0.137753,-0.118163,-0.098573,-0.078983,-0.059393,-0.039803,-0.020213,-0.000623,0.018967,0.038558,0.058148,0.077738,0.097328,0.116918,0.136508,0.156098,0.175688,0.195278,0.214869],""c"":[2,0,0,2,0,4,5,10,17,34,40,47,47,39,46,29,32,18,9,11]}",0.200799,0.083339,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0886;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,-0.41497011265693207,mean_reversion,False,incomplete_regime,90.0,53.0,weighted_empirical,-0.08862695393152914,0.200799,simple_ito_fallback,2,short_favorable_positive,0.200799,,,simple_ito,0.4981735,0.5978082,0.5,0.5978082,bucket_1,,False
LMTL,LMT,False,,1.998958,180,ols,0.116553,15000,0.116553,False,False,31.93000030517578,0.116553,1.0,False,,True,False,False,False,False,False,False,False,0.506558,0.506801,0.169187,0.168689,0.27017,0.267886,0.0107,yfinance,0.0,0.03593,0.11947,0.118243,True,0.154982,0.052634,0.038429000000000005,0.11947,0.11947,0.11947,0.11947,simple_ito_fallback,-2.123126,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.052634,0.1443285,0.116553,0.15320638888888888,0.148214,-0.17405114917912806,-0.09572605015022782,-0.03643725635289584,0.010613507108259927,0.07796004330628438,"{""e"":[-0.229397,-0.211746,-0.194095,-0.176444,-0.158793,-0.141141,-0.12349,-0.105839,-0.088188,-0.070537,-0.052886,-0.035234,-0.017583,6.8e-05,0.017719,0.03537,0.053021,0.070673,0.088324,0.105975,0.123626],""c"":[6,4,5,7,11,22,23,27,33,37,23,53,35,26,28,16,16,13,6,1]}",0.11947,0.049717,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0487;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.27676563278399857,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,54.0,weighted_empirical,-0.048699746045923656,0.11947,simple_ito_fallback,2,short_favorable_positive,0.11947,,,simple_ito,0.4997395,0.5996874,0.5,0.5996874,bucket_1,,False
METU,META,False,,1.998177,471,ols,0.070181,300000,0.070181,False,False,30.700000762939453,0.070181,1.0,False,,True,False,False,False,False,False,False,False,0.701276,0.706557,0.242245,0.239975,0.350585,0.352787,0.0102,yfinance,0.0,0.03593,0.168638,0.170183,True,0.242245,0.172064,0.172064,0.168638,0.168638,0.168638,0.168638,simple_ito_fallback,-1.777264,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.172064,0.2054415,0.070181,0.08269115094339623,0.078108,0.024416810577084693,0.057463067324913755,0.08324733511877613,0.10427789654223567,0.1404657039233964,"{""e"":[0.010603,0.018605,0.026608,0.034611,0.042613,0.050616,0.058619,0.066621,0.074624,0.082627,0.090629,0.098632,0.106635,0.114637,0.12264,0.130643,0.138645,0.146648,0.154651,0.162653,0.170656],""c"":[12,7,17,11,24,27,27,32,37,36,38,33,30,18,19,6,8,4,3,3]}",0.168638,0.07360699999999998,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.0738;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.08892115852893283,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,53.0,weighted_empirical,-0.07377271873831398,0.168638,simple_ito_fallback,2,short_favorable_positive,0.168638,,,simple_ito,0.49954425,0.5994531,0.5,0.5994531,bucket_1,,False
MRVU,MRVL,False,,2.009715,49,ols,0.5049,6000,0.5049,False,False,89.66000366210938,0.5049,1.0,False,,True,False,False,False,False,False,False,False,1.344158,1.380187,0.602141,0.590164,0.577751,0.576156,0.0097,yfinance,0.0,0.03593,0.384655,0.382788,True,0.426944,0.09724100000000002,-0.07795600000000003,0.384655,0.384655,0.384655,0.384655,simple_ito_fallback,-0.969922,0.0,479.0,252.0,2026-04-26,letf,True,blended_realized_expected,0.09724100000000002,0.493398,0.5049,0.21011352631578947,0.1784365,-0.2468024204994495,-0.010214531940083343,0.17357834468229694,0.30359804413843583,0.5049749462583102,"{""e"":[-0.324676,-0.279038,-0.2334,-0.187762,-0.142124,-0.096486,-0.050848,-0.00521,0.040428,0.086066,0.131704,0.177342,0.222979,0.268617,0.314255,0.359893,0.405531,0.451169,0.496807,0.542445,0.588083],""c"":[9,10,5,16,16,20,25,20,21,32,25,38,34,35,15,17,21,16,10,7]}",0.384655,0.217486,,,10.0,400.0,trading_days_252,,0.0,0.0,block_bootstrap_daily_drag;anchor_shift_to_expected_p50=-0.2196;weighted_borrow_resample_full_history;halflife_cal_days=90,empirical_block_marginal_x_weighted_borrow_marginal,deferred,0.12122630373647351,momentum_incomparable_to_vol_drag,False,incomplete_regime,90.0,38.0,weighted_empirical,-0.21958625582349206,0.384655,simple_ito_fallback,2,short_favorable_positive,0.384655,,,simple_ito,0.50242875,0.6029144999999999,0.50242875,0.6029144999999999,bucket_1,,False
